article_type,author_names,authorinfo,citation,citation_date,correspondence_author,keywords,titles
"['\nNature |\n\t\t\t\t\tArticle\t\t\t\t', '\nNature\n']","['Alexander C. Huang', '1', '2', '3', '4', 'Michael A. Postow', '5', '6', '*', 'Robert J. Orlowski', '1', '2', '3', '4', '*', 'Rosemarie Mick', '3', '4', '7', 'Bertram Bengsch', '2', '4', '8', 'Sasikanth Manne', '2', '8', 'Wei Xu', '1', '3', 'Shannon Harmon', '1', '3', 'Josephine R. Giles', '2', '4', '8', 'Brandon Wenz', '1', '3', 'Matthew Adamow', '9', 'Deborah Kuk', '10', 'Katherine S. Panageas', '10', 'Cristina Carrera', '5', '11', 'Phillip Wong', '9', '12', 'Felix Quagliarello', '2', '8', 'Bradley Wubbenhorst', '1', '3', 'Kurt D’Andrea', '1', '3', 'Kristen E. Pauken', '2', '8', 'Ramin S. Herati', '1', '2', '3', 'Ryan P. Staupe', '2', '8', 'Jason M. Schenkel', '13', 'Suzanne McGettigan', '1', '3', 'Shawn Kothari', '1', 'Sangeeth M. George', '2', '4', '8', 'Robert H. Vonderheide', '1', '2', '3', '4', 'Ravi K. Amaravadi', '1', '3', 'Giorgos C. Karakousis', '3', '14', 'Lynn M. Schuchter', '1', '3', 'Xiaowei Xu', '3', '15', 'Katherine L. Nathanson', '1', '3', '4', 'Jedd D. Wolchok', '5', '12', 'Tara C. Gangadhar', '1', '3', '§', 'E. John Wherry', '2', '3', '4', '8', '§']","['Department of Medicine, Perelman School of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania, USA', 'Institute for Immunology, Perelman School of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania, USA', 'Abramson Cancer Center, Perelman School of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania, USA', 'Parker Institute for Cancer Immunotherapy at University of Pennsylvania, Philadelphia, Pennsylvania, USA', 'Department of Medicine, Memorial Sloan Kettering Cancer Center, New York, New York, USA', 'Weill Cornell Medical College, New York, New York, USA', 'Department of Biostatistics and Epidemiology, Perelman School of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania, USA', 'Department of Microbiology, Perelman School of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania, USA', 'Immune Monitoring Facility, Ludwig Center for Cancer Immunotherapy, Memorial Sloan Kettering Cancer Center, New York, New York, USA', 'Department of Epidemiology and Biostatistics, Memorial Sloan Kettering Cancer Center, New York, New York, USA', 'Department of Dermatology, Hospital Clínic de Barcelona, Institut d’Investigacions Biomèdiques August Pi i Sunyer (IDIBAPS), University of Barcelona and Centro de Investigación Biomédica en Red de Enfermedades Raras (CIBERER), Barcelona, Spain', 'Parker Institute for Cancer Immunotherapy at Memorial Sloan Kettering Cancer Center, New York, New York, USA', 'Department of Pathology, Brigham and Women’s Hospital, Boston, Massachusetts, USA', 'Department of Surgery, Perelman School of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania, USA', 'Department of Pathology and Laboratory Medicine, Perelman School of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania, USA']","['Nature', '(2017)', 'doi:10.1038/nature22079', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t14 June 2016\n\t\t\t\t\t\t\t\t\t\t\t\t', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t22 March 2017\n\t\t\t\t\t\t\t\t\t\t\t\t', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t10 April 2017\t\t\t\t\t\t\t']","['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t14 June 2016\n\t\t\t\t\t\t\t\t\t\t\t\t', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t22 March 2017\n\t\t\t\t\t\t\t\t\t\t\t\t', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t10 April 2017\t\t\t\t\t\t\t']","['Alexander C. Huang', 'Tara C. Gangadhar', 'E. John Wherry']",[],T-cell invigoration to tumour burden ratio associated with anti-PD-1 response
[],[],[],[],[],[],[],Brain cells reprogrammed in a mouse model of Parkinson’s 
[],[],[],[],[],[],[],Earth-sized exoplanet with atmosphere spotted
[],[],[],[],[],[],[],Lakes face a dangerously salty future
"['\nNature |\n\t\t\t\t\tLetter\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\t\tArticle\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\tNews and Views\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t']","['Suihe Jiang', '1', 'Hui Wang', '1', 'Yuan Wu', '1', 'Xiongjun Liu', '1', 'Honghong Chen', '1', 'Mengji Yao', '2', 'Baptiste Gault', '2', 'Dirk Ponge', '2', 'Dierk Raabe', '2', 'Akihiko Hirata', '3', '4', 'Mingwei Chen', '3', '5', 'Yandong Wang', '1', 'Zhaoping Lu', '1']","['State Key Laboratory for Advanced Metals and Materials, University of Science and Technology Beijing, Beijing 100083, China', 'Department of Microstructure Physics and Alloy Design, Max-Planck-Institut für Eisenforschung GmbH, Max-Planck-Straße, Düsseldorf 40237, Germany', 'WPI Advanced Institute for Materials Research, Tohoku University, Sendai 980-8577, Japan', 'Mathematics for Advanced Materials-OIL, AIST-Tohoku University, Sendai 980-8577, Japan', 'Department of Materials Science and Engineering, Johns Hopkins University, Baltimore Maryland 21218, USA']","['Nature', '(2017)', 'doi:10.1038/nature22032', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t30 August 2016\n\t\t\t\t\t\t\t\t\t\t\t\t', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t02 February 2017\n\t\t\t\t\t\t\t\t\t\t\t\t', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t10 April 2017\t\t\t\t\t\t\t']","['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t30 August 2016\n\t\t\t\t\t\t\t\t\t\t\t\t', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t02 February 2017\n\t\t\t\t\t\t\t\t\t\t\t\t', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t10 April 2017\t\t\t\t\t\t\t']",['Zhaoping Lu'],[],Ultrastrong steel via minimal lattice misfit and high-density nanoprecipitation
[],[],[],[],[],[],[],Increased farming is threatening Africa’s forests
[],[],[],[],[],[],[],Monkeys can sniff out sickness from faeces
[],[],[],[],[],[],[],Rogue asteroids may be rare
[],[],[],[],[],[],[],Viruses can trigger coeliac disease
[],[],[],[],[],[],[],Octopus smarts may come from RNA edits
[],[],[],[],[],[],[],Biofilms call out to each other from a distance 
"['\nNature |\n\t\t\t\t\tNews & Views\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\t\tCorrespondence\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\tNews and Views\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t']","['Phillip S. Barbeau', '1']","['Phillip S. Barbeau is in the Department of Physics, Duke University, North Carolina 27708-0305, USA.']","['Nature', '\n\t\t\t544,', '38–39', '(06 April 2017)', 'doi:10.1038/544038a', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t05 April 2017\t\t\t\t\t\t\t']",['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t05 April 2017\t\t\t\t\t\t\t'],['Phillip S. Barbeau'],['Particle physics'],Particle physics: The search for no neutrinos
"['\nNature |\n\t\t\t\t\tLetter\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\t\tLetter\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\tLetter\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t']","['J. E. Campbell', '1', 'J. A. Berry', '2', 'U. Seibt', '3', 'S. J. Smith', '4', 'S. A. Montzka', '5', 'T. Launois', '6', '†', 'S. Belviso', '6', 'L. Bopp', '6', '†', 'M. Laine', '7']","['Sierra Nevada Research Institute, University of California, Merced, California 95343, USA', 'Department of Global Ecology, Carnegie Institution for Science, Stanford, California 94305, USA', 'Department of Atmospheric and Oceanic Sciences, University of California, Los Angeles, California 90095, USA', 'Joint Global Change Research Institute, Pacific Northwest National Laboratory, College Park, Maryland 20740, USA', 'Earth System Research Laboratory, National Oceanic and Atmospheric Administration, Boulder, Colorado 80305, USA', 'Laboratoire des Sciences du Climat et de l’Environnement, IPSL, CNRS/CEA/UVSQ, 91191 Gif sur Yvette, France.', 'Finnish Meteorological Institute, Helsinki 00560, Finland']","['Nature', '\n\t\t\t544,', '84–87', '(06 April 2017)', 'doi:10.1038/nature22030', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t10 January 2012\n\t\t\t\t\t\t\t\t\t\t\t\t', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t23 February 2017\n\t\t\t\t\t\t\t\t\t\t\t\t', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t05 April 2017\t\t\t\t\t\t\t']","['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t10 January 2012\n\t\t\t\t\t\t\t\t\t\t\t\t', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t23 February 2017\n\t\t\t\t\t\t\t\t\t\t\t\t', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t05 April 2017\t\t\t\t\t\t\t']",['J. E. Campbell'],"['Carbon cycle', 'Photosynthesis']",Large historical growth in global terrestrial gross primary production
"['\nNature |\n\t\t\t\t\tBooks and Arts\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\t\tBooks and Arts\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\tBooks and Arts\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t']","['Anne-Emanuelle Birn', '1']","[""Anne-Emanuelle Birn is professor of critical development studies and social and behavioural health sciences at the University of Toronto in Canada. Her latest book is Oxford University Press's Textbook of Global Health."", ""Anne-Emanuelle Birn is professor of critical development studies and social and behavioural health sciences at the University of Toronto in Canada. Her latest book is Oxford University Press's Textbook of Global Health.""]","['Nature', '\n\t\t\t544,', '31–32', '(06 April 2017)', 'doi:10.1038/544031a', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t05 April 2017\t\t\t\t\t\t\t']",['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t05 April 2017\t\t\t\t\t\t\t'],"['Anne-Emanuelle Birn', 'Anne-Emanuelle Birn']",[],Philanthropy: The politics of giving
"['\nNature |\n\t\t\t\t\tBooks and Arts\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\t\tBooks and Arts\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\tBooks and Arts\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t']","['Tilli Tansey', '1']","['Tilli Tansey is professor of the history of modern medical sciences at Queen Mary, University of London.', 'Tilli Tansey is professor of the history of modern medical sciences at Queen Mary, University of London.']","['Nature', '\n\t\t\t544,', '28–29', '(06 April 2017)', 'doi:10.1038/544028a', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t05 April 2017\t\t\t\t\t\t\t']",['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t05 April 2017\t\t\t\t\t\t\t'],"['Tilli Tansey', 'Tilli Tansey']",[],Medical history: A surgeon for all seasons
"['\nNature |\n\t\t\t\t\tCorrespondence\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\t\tCorrespondence\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\tCorrespondence\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t']","['Hubert Cheung', '1', 'Rebecca W. Y. Wong', '2', 'Duan Biggs', '3']","['University of Queensland, Brisbane, Australia.', 'City University of Hong Kong.', 'Griffith University, Nathan, Queensland, Australia.']","['Nature', '\n\t\t\t544,', '35', '(06 April 2017)', 'doi:10.1038/544035b', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t05 April 2017\t\t\t\t\t\t\t']",['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t05 April 2017\t\t\t\t\t\t\t'],['Hubert Cheung'],"['Government', 'Policy']",Ivory ban: Close Hong Kong's ivory-trade window
"['\nNature |\n\t\t\t\t\tNews & Views\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\t\tNews and Views\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\tNews and Views\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t']","['Dan Yakir', '1']","['Dan Yakir is in the Department of Earth & Planetary Sciences, Weizmann Institute of Science, Rehovot 76100, Israel.']","['Nature', '\n\t\t\t544,', '39–40', '(06 April 2017)', 'doi:10.1038/544039a', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t05 April 2017\t\t\t\t\t\t\t']",['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t05 April 2017\t\t\t\t\t\t\t'],['Dan Yakir'],['Biogeochemistry'],Biogeochemistry: Large rise in carbon uptake by land plants
"['\nNature |\n\t\t\t\t\tCorrespondence\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\t\tCorrespondence\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\tCorrespondence\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t']","['Chika E. Uzoigwe', '1']","['Sheffield, UK.']","['Nature', '\n\t\t\t544,', '35', '(06 April 2017)', 'doi:10.1038/544035d', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t05 April 2017\t\t\t\t\t\t\t']",['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t05 April 2017\t\t\t\t\t\t\t'],['Chika E. Uzoigwe'],"['Sociology', 'Funding']",Socio-economics: Reduce inequality to reduce abortion
"['\nNature |\n\t\t\t\t\tBooks and Arts\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\t\tBooks and Arts\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\tBooks and Arts\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t']","['Jim Fleming', '1']","['Jim Fleming is the Charles A. Dana Professor of Science, Technology, and Society at Colby College in Maine. His latest book is Inventing Atmospheric Science (MIT Press, 2016).', 'Jim Fleming is the Charles A. Dana Professor of Science, Technology, and Society at Colby College in Maine. His latest book is Inventing Atmospheric Science (MIT Press, 2016).']","['Nature', '\n\t\t\t544,', '32–33', '(06 April 2017)', 'doi:10.1038/544032a', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t05 April 2017\t\t\t\t\t\t\t']",['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t05 April 2017\t\t\t\t\t\t\t'],"['Jim Fleming', 'Jim Fleming']",[],Meteorology: Weather makers
"['\nNature |\n\t\t\t\t\tNews & Views\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\t\tNews and Views\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\tNews and Views\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t']",[],[],"['Nature', '\n\t\t\t544,', '43', '(06 April 2017)', 'doi:10.1038/544043a', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t05 April 2017\t\t\t\t\t\t\t']",['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t05 April 2017\t\t\t\t\t\t\t'],[],"['History', 'Evolution', 'Materials science']",50 & 100 Years Ago
"['\nNature |\n\t\t\t\t\tBooks and Arts\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\t\tBooks and Arts\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\tBooks and Arts\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t']","['Roger Fouquet', '1']","['Roger Fouquet is an associate professorial research fellow at the Grantham Research Institute on Climate Change and the Environment at the London School of Economics and Political Science.', 'Roger Fouquet is an associate professorial research fellow at the Grantham Research Institute on Climate Change and the Environment at the London School of Economics and Political Science.']","['Nature', '\n\t\t\t544,', '29–30', '(06 April 2017)', 'doi:10.1038/544029a', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t05 April 2017\t\t\t\t\t\t\t']",['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t05 April 2017\t\t\t\t\t\t\t'],"['Roger Fouquet', 'Roger Fouquet']",[],"Energy: Muscle, steam and combustion"
"['\nNature |\n\t\t\t\t\tLetter\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\t\tLetter\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\tLetter\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t']","['Ge Wu', '1', 'Ka-Cheung Chan', '1', 'Linli Zhu', '1', '2', 'Ligang Sun', '1', 'Jian Lu', '1', '3']","['Department of Mechanical and Biomedical Engineering, City University of Hong Kong, Kowloon, Hong Kong, China', 'Department of Engineering Mechanics and Key Laboratory of Soft Machines and Smart Devices of Zhejiang Province, Zhejiang University, Hangzhou 310027, China', 'Centre for Advanced Structural Materials, City University of Hong Kong, Shenzhen Research Institute, 8 Yuexing 1st Road, Shenzhen Hi-Tech Industrial Park, Nanshan District, Shenzhen, China']","['Nature', '(2017)', 'doi:10.1038/nature21691', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t19 July 2016\n\t\t\t\t\t\t\t\t\t\t\t\t', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t03 February 2017\n\t\t\t\t\t\t\t\t\t\t\t\t', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t05 April 2017\t\t\t\t\t\t\t']","['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t19 July 2016\n\t\t\t\t\t\t\t\t\t\t\t\t', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t03 February 2017\n\t\t\t\t\t\t\t\t\t\t\t\t', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t05 April 2017\t\t\t\t\t\t\t']",['Jian Lu'],[],Dual-phase nanostructuring as a route to high-strength magnesium alloys
[],[],[],[],[],[],[],Fish-inspired robot leaves rivals in its wake
"['\nNature |\n\t\t\t\t\tNews & Views\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\t\tNews and Views\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\tNews and Views\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t']","['Andrew A. Rosenberg', '1']","['Andrew A. Rosenberg is at the Center for Science and Democracy, Union of Concerned Scientists, Cambridge, Massachusetts 02138, USA.']","['Nature', '(2017)', 'doi:10.1038/nature21906', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t05 April 2017\t\t\t\t\t\t\t']",['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t05 April 2017\t\t\t\t\t\t\t'],['Andrew A. Rosenberg'],[],Marine conservation: The race to fish slows down
"['\nNature |\n\t\t\t\t\tLetter\t\t\t\t\tOpen ', '\nNature\n | \n\t\t\t\t\t\t\t\t\t\tLetter\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t', '\nNature\n | \n\t\t\t\t\t\t\t\t\tLetter\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t']","['Michael R. Hall', '1', '*', 'Kevin M. Kocot', '2', '*', '†', 'Kenneth W. Baughman', '3', '*', 'Selene L. Fernandez-Valverde', '2', '†', 'Marie E. A. Gauthier', '2', 'William L. Hatleberg', '2', 'Arunkumar Krishnan', '2', 'Carmel McDougall', '2', 'Cherie A. Motti', '1', 'Eiichi Shoguchi', '3', 'Tianfang Wang', '4', 'Xueyan Xiang', '2', 'Min Zhao', '2', '4', 'Utpal Bose', '1', '4', 'Chuya Shinzato', '3', 'Kanako Hisata', '3', 'Manabu Fujie', '5', 'Miyuki Kanda', '5', 'Scott F. Cummins', '4', 'Noriyuki Satoh', '3', 'Sandie M. Degnan', '2', 'Bernard M. Degnan', '2']","['Australian Institute of Marine Science (AIMS), Cape Ferguson, Townsville, Queensland 4810, Australia', 'Centre for Marine Science, School of Biological Sciences, The University of Queensland, Brisbane, Queensland 4072, Australia', 'Marine Genomics Unit, Okinawa Institute of Science and Technology Graduate University, Onna, Okinawa 904-0495, Japan', 'Genecology Research Centre, University of the Sunshine Coast, Maroochydore DC, Queensland 4558, Australia', 'DNA Sequencing Section, Okinawa Institute of Science and Technology Graduate University, Onna, Okinawa 904-0495, Japan']","['Nature', '(2017)', 'doi:10.1038/nature22033', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t21 June 2016\n\t\t\t\t\t\t\t\t\t\t\t\t', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t05 March 2017\n\t\t\t\t\t\t\t\t\t\t\t\t', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t05 April 2017\t\t\t\t\t\t\t']","['\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t21 June 2016\n\t\t\t\t\t\t\t\t\t\t\t\t', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t05 March 2017\n\t\t\t\t\t\t\t\t\t\t\t\t', '\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t05 April 2017\t\t\t\t\t\t\t']",['Bernard M. Degnan'],[],The crown-of-thorns starfish genome as a guide for biocontrol of this coral reef pest
